Kilometro_num,Provincia,Cantón,region,Rural_urbano,Calzada_vertical,Calzada_horizontal,hora_grupo,fin_semana,estacion,calzada_tipo,estado_via,clima_grupo,tipo_colision,severidad_tipo_LLM,cobertura_emergencias_canton
1.0,san josé,santa ana,central,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
34.0,alajuela,san carlos,huetar norte,rural,pendiente,curva,06:00-11:59,0,invierno,no_pavimentada,riesgo,bueno,lateral,10,7
12.0,alajuela,palmares,central,urbana,plano,curva,06:00-11:59,0,invierno,pavimentada,buena,bueno,lateral,10,6
91.0,puntarenas,esparza,pacífico central,urbana,pendiente,recta,12:00-17:59,0,invierno,no_pavimentada,riesgo,bueno,frontal,9,6
0.0,san josé,pérez zeledón,brunca,urbana,pendiente,recta,12:00-17:59,1,invierno,pavimentada,buena,bueno,lateral,10,7
25.0,guanacaste,santa cruz,chorotega,urbana,plano,curva,12:00-17:59,1,verano,pavimentada,buena,bueno,alcance,7,6
258.0,guanacaste,la cruz,chorotega,rural,plano,curva,06:00-11:59,1,invierno,pavimentada,buena,bueno,interseccion,9,3
2.0,san josé,san josé,central,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,lluvia,alcance,7,10
14.0,alajuela,alajuela,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,lateral,10,10
137.0,san josé,pérez zeledón,brunca,urbana,plano,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,alcance,7,7
1.0,san josé,desamparados,central,urbana,plano,curva,12:00-17:59,0,invierno,pavimentada,buena,lluvia,lateral,10,10
11.0,guanacaste,carrillo,chorotega,urbana,pendiente,recta,18:00-23:59,1,invierno,pavimentada,buena,lluvia,lateral,10,6
73.0,alajuela,san carlos,huetar norte,rural,pendiente,recta,12:00-17:59,1,invierno,pavimentada,buena,bueno,frontal,9,7
